time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1968-12-25T03:56:38.360Z,41.808,142.833,18.3,5.55,mw,,,,,iscgem,iscgem814486,2022-04-26T22:16:34.719Z,"69 km SSE of Shizunai-furukawach?, Japan",earthquake,,3.6,0.26,,reviewed,iscgem,iscgem
1968-12-11T11:45:31.650Z,33.554,134.085,29.9,5.54,mw,,,,,iscgem,iscgem814065,2022-04-26T22:15:33.054Z,"18 km ENE of Aki, Japan",earthquake,,4.7,0.22,,reviewed,iscgem,iscgem
1968-11-24T21:21:01.320Z,40.337,142.468,40,5.89,mw,,,,,iscgem,iscgem815353,2022-04-26T22:18:27.282Z,"84 km ESE of Hachinohe, Japan",earthquake,,5.1,0.2,,reviewed,iscgem,iscgem
1968-11-13T18:41:49.730Z,40.188,142.75,46,6.17,mw,,,,,iscgem,iscgem815079,2022-04-26T22:17:45.728Z,"91 km NE of Miyako, Japan",earthquake,,4.9,0.2,,reviewed,iscgem,iscgem
1968-11-11T14:41:16.340Z,40.172,143.442,27.1,5.9,mw,,,,,iscgem,iscgem815011,2022-04-26T22:17:39.426Z,"140 km ENE of Miyako, Japan",earthquake,,14.5,0.3,,reviewed,iscgem,iscgem
1968-10-29T04:06:08.080Z,31.348,141.904,35,5.81,mw,,,,,iscgem,iscgem816389,2022-04-26T22:19:26.169Z,"Izu Islands, Japan region",earthquake,,14,0.33,,reviewed,iscgem,iscgem
1968-10-28T14:40:41.910Z,33.51,140.984,50,5.62,mw,,,,,iscgem,iscgem816372,2022-04-26T22:19:19.389Z,"191 km SSE of Katsuura, Japan",earthquake,,4.8,0.27,,reviewed,iscgem,iscgem
1968-10-20T12:21:49.660Z,40.433,144.299,15,5.98,mw,,,,,iscgem,iscgem816133,2022-04-26T22:19:08.905Z,"219 km ENE of Miyako, Japan",earthquake,,14.8,0.38,,reviewed,iscgem,iscgem
1968-10-16T07:45:49.240Z,29.127,129.575,20,5.69,mw,,,,,iscgem,iscgem816001,2022-04-26T22:19:04.019Z,"84 km N of Naze, Japan",earthquake,,12.7,0.33,,reviewed,iscgem,iscgem
1968-10-07T20:49:04.210Z,41.965,142.759,35,6.45,mw,,,,,iscgem,iscgem815712,2022-04-26T22:18:50.083Z,"52 km SE of Shizunai-furukawach?, Japan",earthquake,,4.7,0.2,,reviewed,iscgem,iscgem
1968-10-07T19:20:20.890Z,26.358,140.635,500,7.31,mw,,,,,iscgem,iscgem815709,2022-04-26T22:18:48.734Z,"Bonin Islands, Japan region",earthquake,,6.5,0.1,,reviewed,iscgem,iscgem
